1*1,32.68928,29.97568
1*2,39.22055,42.92944
1*4,44.70818,40.46033
1*8,34.6036,37.90434
1*16,40.22774,38.56547
1*32,37.62905,35.45041
1*64,37.04815,37.08591
1*128,37.42468,36.6266
1*256,36.08197,38.14216
1*512,36.89679,36.20256
1*1024,37.17851,37.04394
1*2048,37.07926,36.96834
2*1,34.77445,31.49625
2*2,44.73054,35.33788
2*4,37.27425,37.5663
2*8,39.09921,35.90649
2*16,35.15992,34.10706
2*32,37.98708,34.53254
2*64,35.57365,32.5578
2*128,36.1215,33.65127
2*256,33.96058,36.88618
2*512,34.94514,32.55063
2*1024,35.96093,34.15661
2*2048,35.68362,34.00299
4*1,35.07762,30.39791
4*2,42.7342,40.66212
4*4,39.67139,35.43225
4*8,36.00924,33.66941
4*16,35.2739,33.12946
4*32,37.04825,34.36689
4*64,35.8928,32.53212
4*128,36.10335,33.11132
4*256,33.56129,36.10358
4*512,34.91436,32.30143
4*1024,35.77234,33.74611
4*2048,35.5056,33.60854
8*1,37.8918,37.16852
8*2,41.36238,38.601
8*4,38.65392,37.62305
8*8,37.4768,33.91723
8*16,36.19407,34.1274
8*32,37.32888,34.62957
8*64,36.4818,33.45257
8*128,37.0568,34.24687
8*256,34.60653,37.36018
8*512,35.76764,33.26058
8*1024,36.68615,34.77288
8*2048,36.41587,34.62804
16*1,34.61745,33.19991
16*2,37.59212,35.55495
16*4,37.84658,36.14379
16*8,36.45776,34.31976
16*16,36.29539,34.44604
16*32,36.82166,33.94189
16*64,36.18061,33.12749
16*128,36.33253,33.57356
16*256,34.37303,36.5033
16*512,35.30508,32.7894
16*1024,36.21923,34.19852
16*2048,35.96573,34.06543
32*1,39.80498,36.70237
32*2,38.91094,36.7776
32*4,39.60353,37.09062
32*8,37.49654,34.76187
32*16,35.47023,33.94526
32*32,37.11791,34.40775
32*64,36.62387,33.48746
32*128,36.83485,34.31697
32*256,34.52562,37.454
32*512,35.56509,33.17382
32*1024,36.54481,34.75912
32*2048,36.27084,34.60725
64*1,34.03409,31.64701
64*2,37.6405,34.98972
64*4,36.59447,34.18165
64*8,35.97049,33.27368
64*16,34.86723,32.83122
64*32,35.86029,32.81423
64*64,35.39642,32.38192
64*128,35.57052,32.80456
64*256,33.82191,34.80901
64*512,34.61888,32.02869
64*1024,35.38739,33.17106
64*2048,35.18006,33.06663
128*1,35.60425,32.51794
128*2,37.8962,35.07563
128*4,37.39634,34.4381
128*8,36.13502,33.38494
128*16,35.27748,33.25933
128*32,36.29629,33.27174
128*64,35.67527,32.58388
128*128,36.06697,33.02542
128*256,34.12802,35.40826
128*512,34.91618,32.20889
128*1024,35.80933,33.47718
128*2048,35.57406,33.36102
256*1,33.04761,40.30259
256*2,35.84211,44.05242
256*4,36.25812,41.72086
256*8,34.95952,38.32399
256*16,34.29336,37.0465
256*32,35.02745,37.23534
256*64,34.56417,35.73462
256*128,34.78184,36.70976
256*256,32.00381,58.41054
256*512,33.89857,35.33805
256*1024,34.19365,38.10192
256*2048,34.01515,37.79338
512*1,32.69704,30.9648
512*2,34.85639,33.31384
512*4,34.76699,33.11975
512*8,33.87315,32.06062
512*16,33.3593,32.0125
512*32,34.07536,32.03061
512*64,33.69443,31.51656
512*128,33.89927,31.88683
512*256,32.56277,33.71997
512*512,33.00283,31.12264
512*1024,33.70265,32.21602
512*2048,33.54218,32.1203
1024*1,34.89977,33.58104
1024*2,37.38935,36.18938
1024*4,37.18107,35.65287
1024*8,35.98292,34.24701
1024*16,35.01263,33.90387
1024*32,36.02404,33.95303
1024*64,35.46676,33.18794
1024*128,35.7454,33.72406
1024*256,33.54937,36.77794
1024*512,34.67126,32.8068
1024*1024,35.41686,34.29049
1024*2048,35.1993,34.15916
2048*1,34.45064,33.29416
2048*2,36.91013,35.86676
2048*4,36.75365,35.38107
2048*8,35.60726,34.02085
2048*16,34.73801,33.71403
2048*32,35.6803,33.76132
2048*64,35.16004,33.0253
2048*128,35.42254,33.54272
2048*256,33.33504,36.42472
2048*512,34.3943,32.64663
2048*1024,35.10912,34.08823
2048*2048,34.91382,33.97548
